rank	iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
8	15	dp-pp	6927323239543346	6927323239544818	1472	218136576	33554432
8	15	pp-dp	6927323247178946	6927323250617833	3438887	33554432	4
8	15	dp-pp	6927323250627561	6927323336983229	86355668	4	4
8	16	pp-dp	6927328311104145	6927328311776307	672162	33554432	131338240
8	16	dp-pp	6927329626060203	6927330931210608	1305150405	54534144	33554432
8	16	pp-dp	6927330945465996	6927332935800781	1990334785	33554432	525352960
8	16	dp-pp	6927335953572859	6927335953576507	3648	218136576	33554432
8	16	pp-dp	6927335958680198	6927335962123117	3442919	33554432	4
8	16	dp-pp	6927335962132941	6927335962165517	32576	4	4
8	17	pp-dp	6927340898633957	6927340899301830	667873	33554432	131338240
8	17	dp-pp	6927342201179961	6927343504690517	1303510556	54534144	33554432
8	17	pp-dp	6927343519563635	6927345511908858	1992345223	33554432	525352960
8	17	dp-pp	6927348533185102	6927348533198413	13311	218136576	33554432
8	17	pp-dp	6927348540108476	6927348543548003	3439527	33554432	4
8	17	dp-pp	6927348543557859	6927348543589763	31904	4	4
8	18	pp-dp	6927353380813593	6927353381484698	671105	33554432	131338240
8	18	dp-pp	6927354690482659	6927355996573052	1306090393	54534144	33554432
8	18	pp-dp	6927356011662404	6927358004238449	1992576045	33554432	525352960
8	18	dp-pp	6927360582189219	6927360582192995	3776	218136576	33554432
8	18	pp-dp	6927360587488906	6927360590933391	3444485	33554432	4
8	18	dp-pp	6927360594665620	6927360771141926	176476306	4	4
8	19	pp-dp	6927365581028796	6927365581704221	675425	33554432	131338240
8	19	dp-pp	6927366912030230	6927368215113669	1303083439	54534144	33554432
8	19	pp-dp	6927368228891909	6927370223014760	1994122851	33554432	525352960
8	19	dp-pp	6927372945483650	6927372945487426	3776	218136576	33554432
8	19	pp-dp	6927372952779313	6927372956220728	3441415	33554432	4
8	19	dp-pp	6927372956230552	6927372962086884	5856332	4	4
8	19	pp-dp	6927376234055774	6927376248522012	14466238	4	4
9	10	pp-dp	6927254277692188	6927254278366300	674112	33554432	131338240
9	10	dp-pp	6927255550826827	6927256865659129	1314832302	54534144	33554432
9	10	pp-dp	6927256880199502	6927258872407431	1992207929	33554432	525352960
9	10	dp-pp	6927261615493899	6927261615497099	3200	218136576	33554432
9	10	pp-dp	6927261622452997	6927261625887970	3434973	33554432	4
9	10	dp-pp	6927261625898274	6927261625933698	35424	4	4
9	11	pp-dp	6927266598918653	6927266599585532	666879	33554432	131338240
9	11	dp-pp	6927267848664861	6927269186163094	1337498233	54534144	33554432
9	11	pp-dp	6927269200197451	6927271193284556	1993087105	33554432	525352960
9	11	dp-pp	6927274148543660	6927274148547660	4000	218136576	33554432
9	11	pp-dp	6927274154817383	6927274158253540	3436157	33554432	4
9	11	dp-pp	6927274159221828	6927274159257636	35808	4	4
9	12	pp-dp	6927279054165055	6927279054835230	670175	33554432	131338240
9	12	dp-pp	6927280333160192	6927281638958545	1305798353	54534144	33554432
